Record Number,Common Name,Code,Latitude,Longitude,GPS certainty_meters,Locality,Elev_meters,Date,Observer,Breeding Evidence,Observation,Nest Species_Structure,Nest hgt meters,Comments,Sources,Photo,Photo Link,Scientific Name,
2,Peregrine Falcon,PEFA,34.704,-120.203,5000,Secured,,1-Jul-2005,,Fledgling out of Nest--Brancher,3 fledglings,,,nest site known since 2006; data with Santa Cruz Predatory Bird Group; year uncertain,observer,,,#REF!,
3,Western Meadowlark,WEME,34.62177,-120.00838,,"Santa Ynez vicinity, ""Happy Canyon""",227,24-Apr-1934,"Rett, E.",No suitable category,"""Nesting commonly""",,,,Rett 1934-1941.pdf,,,#REF!,
4,Wilson's Warbler,WIWA,34.58559,-120.1458,1000,Santa Ynez River at Solvang,111,1-Jul-1934,"Rett, E.",Nestling in Nest,"""Nest with 3 young and 1 Cowbird""",,,"8-July-34, Returned to find empty nest""",Rett 1934-1941.pdf,,,#REF!,
5,American Coot,AMCO,34.41325,-119.87638,500,"Goleta, COPR",2,21-May-1935,"Rett, E.",Egg in Nest,"""Nest with 8 eggs""",Salicornia,,"""Campbell Ranch Ponds""",Rett 1934-1941.pdf,,,#REF!,
6,Killdeer,KILL,34.41065,-119.88052,200,"Goleta, COPR",2,21-May-1935,"Rett, E.",Egg in Nest,"""Nest with 4 eggs""",,,"""Campbell Ranch Ponds"" ""Sand Dune""",Rett 1934-1941.pdf,,,#REF!,
7,Pied-billed Grebe,PBGR,34.41325,-119.87638,500,"Goleta, COPR",2,23-May-1935,"Rett, E.",Fledgling under Parental Care,"""...with family on her back...""",,,"""Campbell Ranch Ponds""",Rett 1934-1941.pdf,,,#REF!,
8,Blue-gray Gnatcatcher,BGGN,34.50698,-119.79258,1000,"Santa Ynez Mtns, nr Painted Cave",827,26-Apr-1936,"Rett, E.",Nest Building,"""Saw one of the birds working on the nest...its almost finished""",,,"""Above Painted Cave, Dillingham Cabin""",Rett 1934-1941.pdf,,,#REF!,
9,Killdeer,KILL,34.40898,-119.84769,300,"Goleta, UCSB Campus Lagoon",4,30-Apr-1936,"Rett, E.",Fledgling under Parental Care,"""A pair with 2 small young""",,,"Goleta, ""Irvine Ranch""",Rett 1934-1941.pdf,,,#REF!,
10,Snowy Plover,SNPL,34.40902,-119.84769,300,"Goleta, UCSB Campus Lagoon",4,30-Apr-1936,"Rett, E.",Egg in Nest,"""One nest with 3 eggs""",,,"Goleta, ""Irvine Ranch""",Rett 1934-1941.pdf,,,#REF!,
11,Barn Swallow,BARS,34.41748,-119.87408,50,"Goleta, COPR",2,1-Aug-1939,"Rett, E.",Egg in Nest,"""...At least 3 pairs...one nest contained 4 eggs""",,,"""Under small wooden bridge on  N. End of pond at Campbell Ranch""",Rett 1934-1941.pdf,,,#REF!,
12,Mountain Quail,MOUQ,34.88206,-119.46246,500,"Cuyama Valley, Ballinger Cyn",901,10-Jul-1978,BOSB,Family Group in Close Association,female with 11 chicks,,,,BOSB species account,,,#REF!,
13,Snowy Plover,SNPL,34.41196,-119.88308,100,"Goleta, COPR",3,2-May-1982,"Bazzi, D.",Egg in Nest,"""Nest containing 3 eggs about 150-200 ft. from waters edge and about 10-20 ft. from the nearest dune vegetation."" [3 individuals observed, one of which was female who ran to nest]",,,"""1/8 miles W of Devereux Slough outlet at border of the Reserve and present University Exchange property"". On 5-May-82, nest not found, dune buggy tracks in area.  1 female exhibiting same distraction behavior as 02-May-82 bird and returns to nest-""Same Female?""","""Snowy Plover Field Observations""",,,#REF!,
14,Snowy Plover,SNPL,34.4106,-119.88175,100,"Goleta, COPR, Devereux Beach",2,5-May-1982,"Bazzi, D.",Egg in Nest,"""Nest site with at least 2 eggs"" ""5-May-82 nest gone by 30-May-82, Dune buggy tracks where nest should have been and 2 unhatched dead chicks nearby. No evidence of 3rd egg.",,,"""About 100-200 ft. from previous [2-May-82] nest site","""",,,#REF!,
15,White-tailed Kite,WTKI,34.43937,-119.84796,200,"Goleta, Lake Los Carneros",10,9-May-1987,"Holmgren, M.",Fledgling under Parental Care,"4 fledglings out of nest flying well, 1 ad in close proximity 100m N of Hwy 101 and Calle Real. Perched atop, oak, willow, pines to the E.",,,Nest site not identified.,Lake Los Carneros 9 May 1987.pdf,,,#REF!,
16,Brown-headed Cowbird,BHCO,34.67125,-120.49501,500,"Santa Ynez River, Floradale Ave",16,18-Jul-1992,"Holmgren, M.",Host - Brood Parasite Interaction,2 fledglings being fed by 1 pair Wilson's Warblers,,,"With Greaves, J.  See also Wilson's Warbler rec 18.",SYR Floradale and estuary 18 July 1992.pdf,,,#REF!,
17,Willow Flycatcher,WIFL,34.798,-120.536,5000,"Santa Ynez River, N VAFB",,18-Jul-1992,"Holmgren, M.",Feeding Fledgling,adult fed juv and juvs fed themselves,,,"With Greaves, J.",SYR Floradale and estuary 18 July 1992.pdf,,,#REF!,
18,Wilson's Warbler,WIWA,34.67128,-120.49501,500,"Santa Ynez River, Floradale Ave",16,18-Jul-1992,"Holmgren, M.",Feeding Fledgling,2 adults feeding 2 fledgling cowbirds,,,"With Greaves, J.  See also Wilson's Warbler rec 16.",SYR Floradale and estuary 18 July 1992.pdf,,,#REF!,
19,Willow Flycatcher,WIFL,34.704,-120.203,5000,Santa Ynez River,,25-Jun-1993,"Holmgren, M.",Delivering Food to Nest or Cavity,food delivery to nest not found,Poison Oak,,"Willow Flycatcher, S side river. With Kisner, D.  Territory #1 in notes. Female cowbird present",,,,#REF!,
20,Willow Flycatcher,WIFL,34.704,-120.203,5000,Santa Ynez River,,25-Jun-1993,"Holmgren, M.",Carrying Nesting Material,We watched bird collect nest material and go to a low shrub and emerge without the material.,low shrub,,"Willow Flycatcher, S side river. With Kisner, D.  Territory #2 in notes. Female cowbird present",,,,#REF!,
21,Willow Flycatcher,WIFL,34.704,-120.203,5000,Santa Ynez River,,25-Jun-1993,"Holmgren, M.",Nest in Use (clarify),"nest in 10m wide, now dry, tributary channel on S-facing slope of river near a remnent pond. 3 nestlings","Mulefat, Poison Oak",1.5,"Willow Flycatcher, S side river. With Kisner, D.  female cowbird in attendance, but all nestl appeared to be WiFls",,,,#REF!,
22,European Starling,EUST,34.61442,-120.21323,500,"Santa Ynez River, Buellton",94,25-May-1994,"Holmgren, M.",Delivering Food to Nest or Cavity,feeding young in cavities,,,"With Haupt, D.  No specific nest record. from 2.0 to 0.5 miles W Buellton",,,,#REF!,
23,Northern Flicker,NOFL,34.61442,-120.21326,500,"Santa Ynez River, Buellton",94,25-May-1994,"Holmgren, M.",Carrying Food,adult male carrying food to nest cavity in top of 20' high dead Cottonwood,cottonwood,6.2,"With Haupt, D. from 2.0 to 0.5 miles W Buellton. Cottonwood, dead",SYR Buellton 25 May 1994.pdf,,,#REF!,
24,Western Bluebird,WEBL,34.61442,-120.21329,500,"Santa Ynez River, Buellton",94,25-May-1994,"Holmgren, M.",Carrying Food,adults carrying food to nest hole in dead Cottonwood,cottonwood,,"With Haupt, D. from 2.0 to 0.5 miles W Buellton. Cottonwood, dead",SYR Buellton 25 May 1994.pdf,,,#REF!,
25,Canada Goose,CANG,34.41197,-119.87721,40,"Goleta, COPR, Devereux Slough",2,29-May-1994,"Holmgren, M.",Fledgling under Parental Care,2 adults with 3 softball-sized chicks,,,"With Kudrak, K.  Probably first SB County breeding record",Devereux 29 May 1994.pdf,,,#REF!,
26,European Starling,EUST,34.41423,-119.8736,150,"Goleta, COPR, Slough Rd",2,29-May-1994,"Holmgren, M.",Feeding Fledgling,"""juvs"" being fed",,,"With Kudrak, K.",Devereux 29 May 1994.pdf,,,#REF!,
27,Green Heron,GRHE,34.60538,-120.27849,250,"Santa Ynez River, Buellton",71,3-Jul-1994,"Holmgren, M.",Fledgling out of Nest--Brancher,fledgling just out of nest with another fledgling flying nearby.,,,"Willow Flycatcher site. With Weinstein, M.  Some results appear to be from Greaves and Kisner doing work simultaneously at 5.7 air mi downstream of Hwy 101. 4.9 to 5.3 mi W section not covered;.",SYR Buellton 3 July 1994.pdf,,,#REF!,
28,White-crowned Sparrow,WCSP,34.56411,-120.62932,60,"S VAFB, 0.5 mi E of Rocky Point",88,4-May-1995,"Holmgren, M.",Fledgling under Parental Care,stubby-tailed fledgling seen,,,,VAFB S Oil Well Cyn Holmgren 4 May 1995,,,#REF!,
30,European Starling,EUST,34.68921,-120.60155,100,"N VAFB, Santa Ynez River Estuary",9,4-Apr-1996,"Holmgren, M.",Delivering Food to Nest or Cavity,Adult entering vertical pole S of RR trestle with nest material or food.,telephone pole,,S of RR trestle. One of 4 other observers,Santa Ynez River Estuary 4 April 1996.pdf,,,#REF!,
31,Mallard,MALL,34.68835,-120.59077,150,"N VAFB, Santa Ynez River Estuary",4,4-Apr-1996,"Holmgren, M.",Egg in Nest,"nest with 7 eggs in Salicornia, ? mix near base of 'peninsula'. Female flushed from nest.",Salicornia,,One of 4 other observers,Santa Ynez River Estuary 4 April 1996.pdf,,,#REF!,
32,Northern Rough-winged Swallow,NRWS,34.68503,-120.58825,60,"N VAFB, Santa Ynez River Estuary",31,4-Apr-1996,"Holmgren, M.",Cavity Nester Attending Cavity,adults entering nest holes in 2 places along Ocean Beach Park road,cliff,,One of 4 other observers. Different observation than Record # 33. Record duplicated because two nests identified.,Santa Ynez River Estuary 4 April 1996.pdf,,,#REF!,
33,Northern Rough-winged Swallow,NRWS,34.68498,-120.58825,60,"N VAFB, Santa Ynez River Estuary",31,4-Apr-1996,"Holmgren, M.",Cavity Nester Attending Cavity,adults entering nest holes in 2 places along Ocean Beach Park road,cliff,,One of 4 other observers. Different observation than Record # 32. Record duplicated because two nests identified.,Santa Ynez River Estuary 4 April 1996.pdf,,,#REF!,
34,Song Sparrow,SOSP,34.6905,-120.59931,20,"N VAFB, Santa Ynez River Estuary",3,4-Apr-1996,"Holmgren, M.",Feeding Fledgling,adult feeding fledged nestling,,,25m E of Ocean Beach parking lotOne of 4 other observers,Santa Ynez River Estuary 4 April 1996.pdf,,,#REF!,
35,Blue Grosbeak,BLGR,34.43852,-119.90552,150,"Goleta, Winchester Cyn",19,13-Jul-1996,"Holmgren, M.",Fledgling under Parental Care,"""singing male, 2 juvs""",,,,,,,#REF!,
36,California Scrub-Jay,CASJ,34.43852,-119.90552,120,"Goleta, Winchester Cyn (= Bell Ck N of Hwy 101)",19,13-Jul-1996,"Holmgren, M.",Fledgling Begging,"""adult with 2 flying juvs begging, adult feeding cat food pellet""",,,,Winchester and Devereux Slough 13 July 1996.pdf,,,#REF!,
37,Western Bluebird,WEBL,34.42182,-119.86119,100,"Goleta, wetlands at Mesa x Los Carneros Rd",2,23-Mar-1997,"Labinger, Z.",Carrying Nesting Material,"""Female gathering nest material, male following""",,,"With Gorney, E.",MSE Nesting Records,,,#REF!,
38,Black Phoebe,BLPH,34.41627,-119.84554,50,"Goleta, UCSB, Campbell Hall, west side",16,14-Apr-1997,"Sutton, E.",Adult at Nest (clarify),"""...pair nesting...saw both partners around and visiting the nest.""",,,,MSE Nesting Records,,,#REF!,
39,Killdeer,KILL,34.45452,-119.73198,250,"Lauro Canyon Reservoir, Dam at debris basin a quarter mile down trail from parking lot",123,10-May-1997,"McNulty, P.",Egg in Nest,"""A nest with 4 eggs [about 8 ft. from top of dam] in it being loudly attended-distracted by two adults",,,,MSE Nesting Records,,,#REF!,
40,Killdeer,KILL,34.42058,-119.85057,50,"Goleta, UCSB, Environmental Health and Safety swale",11,1-Jun-1997,"Lentz, J.",Egg in Nest,"""Nest with 4 eggs.Territorial adult, incubation seen (?)""",,,"Also observed on 5-June-9. On 6-June-97 observer reports, ""I checked the scrape after the adults were no longer sitting on it, and found nothing, not even the slightest bit of debris. I never saw the adults again.  I'm almost positive the crows won out and ate the 4 beautiful eggs.""",MSE Nesting Records,,,#REF!,
41,Ash-throated Flycatcher,ATFL,34.44595,-119.92184,250,"Goleta, Farren Rd",101,7-Jun-1997,"McNulty, P.",Delivering Food to Nest or Cavity,"""An Ash-throated was visiting the pipe opening [~4-inch about 4-5 ft. long sticking out of ground at 45-degree angle on west side of road, with food, and cheeping could be heard from that direction with every delivery",,,several hundred yards up the road from Eucalyptus stand,MSE Nesting Records,,,#REF!,
42,Blue Grosbeak,BLGR,34.42337,-119.81606,150,"Goleta, Atascadero Ck",6,3-Jul-1997,"Sweet, S.",Nest Building,"""nest-building"".  On 1 Aug 1997, Holmgren reports: ""Female carrying food wad to likely nest""",,,between Patterson Ave and Ward Dr. Perhaps same nest record.,MSE Nesting Records,,,#REF!,
43,Hooded Oriole,HOOR,34.44403,-119.80218,100,Goleta,28,25-Jul-1997,"Holmgren, M.",Nestling in Nest,"""Nestling being fed""",palm,17,5128 Tabano Way. Fledged on 3-Aug-97,MSE Nesting Records,,,#REF!,
45,American Avocet,AMAV,34.97138,-120.64677,150,Santa Maria River Estuary,4,2-Aug-1997,"McNulty, P.",Fledgling under Parental Care,"""...a pair shepherding a 3/4 size Avocets around. All young's markings were paler, but especially the head.""",,,In small lagoon parallel to shore extending 2-300 yards N of outlet to ocean,MSE Nesting Records,,,#REF!,
46,Hooded Oriole,HOOR,34.45294,-119.71373,200,"Santa Barbara, Mission Cyn",218,7-Aug-1997,"Holmgren, M.",Fledgling under Parental Care,"""2 dependent juvs. accompanying adult""",,,"Montrose Pl., John Gallo's house",MSE Nesting Records,,,#REF!,
47,Hooded Oriole,HOOR,34.41296,-119.84395,20,"Goleta, UCSB, 30m N of Noble Hall",15,13-Aug-1997,"Holmgren, M.",Nestling in Nest,"""Nest with young, nestling calling""",palm,,,MSE Nesting Records,,,#REF!,
48,Lesser Goldfinch,LEGO,34.44448,-119.89328,250,"Goleta, Ellwood Cyn Rd",110,13-Aug-1997,"Holmgren, M.",Feeding Fledgling,1 fledgling begging and being fed by adult on residence and gardens,,,Will McClintock's residence at that time.,MSE Nesting Records,,,#REF!,
