Record Number,Common Name,Locality,Date,Observer,Breeding Evidence,Nest Species/Structure,Nest Height (meters),Observation,Comments,Location Certainty (meters),Elevation (meters),Photo Link,Sources,Scientific Name,x,y
1073,European Starling,Nojoqui Falls County Park,16 Apr 2006,"Compton, D.",Carrying Food,,,Adult carrying food to sycamore,"With Johnson, O",200,358,,Observer,Sturnus vulgaris,-13377996.804072013,4100685.2584148487
1074,European Starling,Nojoqui Falls County Park,16 Apr 2006,"Compton, D.",Delivering Food to Nest or Cavity,Western Sycamore,8,Adult entering nest hole; begging sounds heard,"With Johnson, O",50,222,,Observer,Sturnus vulgaris,-13377931.515190661,4100635.922431744
1075,European Starling,Nojoqui Falls County Park,16 Apr 2006,"Compton, D.",Delivering Food to Nest or Cavity,sycamore,8,Adult entering nest hole; begging sounds heard,"duplicate record. With Johnson, O",50,220,,Observer,Sturnus vulgaris,-13377915.384996446,4100687.961022201
1076,European Starling,Nojoqui Falls County Park,16 Apr 2006,"Compton, D.",Nestling in Nest,sycamore,8,Adult entering and leaving nest hole; begging sounds heard,"With Johnson, O",50,218,,Observer,Sturnus vulgaris,-13377900.022906719,4100765.3639722895
1077,European Starling,Nojoqui Falls County Park,16 Apr 2006,"Johnson, O.",Delivering Food to Nest or Cavity,sycamore,8,Adult entering nest hole; begging sounds heard,"With Compton, D.  duplicate record",50,220,,Observer,Sturnus vulgaris,-13377915.384996446,4100692.717612715
2038,European Starling,Nojoqui Falls County Park,19 Apr 2008,"Compton, D.",Delivering Food to Nest or Cavity,sycamore,,food delivery to nest cavity,,10,223,,observer,Sturnus vulgaris,-13377975.798084099,4100656.651355839
3041,European Starling,Nojoqui Falls County Park,30 May 2011,"Compton, D.",Delivering Food to Nest or Cavity,,,food delivery to begging nestlings,,30,221,,observer,Sturnus vulgaris,-13377945.341071418,4100695.0283434913
3042,European Starling,Nojoqui Falls County Park,30 May 2011,"Compton, D.",Delivering Food to Nest or Cavity,,,food delivery to begging nestlings,,30,220,,observer,Sturnus vulgaris,-13377932.750837011,4100711.730481818
3043,European Starling,Nojoqui Falls County Park,30 May 2011,"Compton, D.",Delivering Food to Nest or Cavity,,,food delivery to begging nestlings,0.6 miles ENE of Park,30,224,,observer,Sturnus vulgaris,-13377140.57907663,4101420.3239734503
2731,European Starling,"Alisal Rd, Alisal Guest Ranch",23 Apr 2010,"Compton, D.",Delivering Food to Nest or Cavity,sycamore,18,"food carry into cavity, begging nestlings heard",,30,155,,observer,Sturnus vulgaris,-13373958.210869676,4103366.5641112165
2732,European Starling,"Alisal Rd, Alisal Guest Ranch",23 Apr 2010,"Compton, D.",Delivering Food to Nest or Cavity,sycamore,13,"food carry into cavity, begging nestlings heard",,30,155,,observer,Sturnus vulgaris,-13373958.132946033,4103371.970615192
2733,European Starling,Nojoqui Falls County Park,23 Apr 2010,"Compton, D.",Delivering Food to Nest or Cavity,Western Sycamore,10,"food carry into cavity, begging nestlings heard",,30,219,,observer,Sturnus vulgaris,-13378038.148130892,4100758.5398430284
2734,European Starling,Nojoqui Falls County Park,23 Apr 2010,"Compton, D.",Delivering Food to Nest or Cavity,Western Sycamore,10,"food carry into cavity, begging nestlings heard",,30,220,,observer,Sturnus vulgaris,-13378034.58590719,4100712.1628999677
2735,European Starling,Nojoqui Falls County Park,23 Apr 2010,"Compton, D.",Delivering Food to Nest or Cavity,Valley Oak,20,"food carry into cavity, begging nestlings heard",,30,218,,observer,Sturnus vulgaris,-13377986.941165129,4100855.7671841886
2736,European Starling,Nojoqui Falls County Park,23 Apr 2010,"Compton, D.",Delivering Food to Nest or Cavity,Valley Oak,20,"food carry into cavity, begging nestlings heard",,30,218,,observer,Sturnus vulgaris,-13377986.80758174,4100860.645464859
2737,European Starling,Nojoqui Falls County Park,23 Apr 2010,"Compton, D.",Delivering Food to Nest or Cavity,sycamore,12,"food carry into cavity, begging nestlings heard,fecal sac carry",,30,228,,observer,Sturnus vulgaris,-13377994.978432365,4100523.45449562
