Record Number,Common Name,Locality,Date,Observer,Breeding Evidence,Nest Species/Structure,Nest Height (meters),Observation,Comments,Location Certainty (meters),Elevation (meters),Photo Link,Sources,Scientific Name,x,y
170,Purple Martin,Nojoqui Falls County Park,7 Mar 2000,"Sanchez, F.",Delivering Food to Nest or Cavity,,,""" ...feeding young in a nest hole in a sycamore...""",,500,220,,MSE Nesting Records,Progne subis,-13378017.954775263,4100710.933210896
551,Purple Martin,Nojoqui Falls County Park,14 Jun 2004,"Greaves, J.",No suitable category,,,1-3 fledglings,4 fledglings total here and at Alisal Guest Ranch,200,217,,,Progne subis,-13377905.889443882,4100859.334680094
552,Purple Martin,"Alisal Rd, Alisal Guest Ranch",14 Jun 2004,"Greaves, J.",No suitable category,,,1-3 fledglings,4 fledglings total here and Nojoqui Falls County Park,100,154,,,Progne subis,-13373944.184613837,4103406.720981532
966,Purple Martin,Nojoqui Falls County Park,29 Jun 2005,"Greaves, J.",Nestling in Nest,sycamore,6,2 nestlings looking out of nest hole,Same tree as 2 other sightings from this date and location. Fledglings also present.,50,219,,,Progne subis,-13377933.58573319,4100729.851519161
967,Purple Martin,Nojoqui Falls County Park,29 Jun 2005,"Greaves, J.",Nestling in Nest,sycamore,6,2 nestlings looking out of nest hole,Same tree as 2 other sightings from this date and location. Fledglings also present.,50,219,,,Progne subis,-13377933.58573319,4100735.2567559364
968,Purple Martin,Nojoqui Falls County Park,29 Jun 2005,"Greaves, J.",Nestling in Nest,sycamore,6,3 nestlings looking out of nest hole,Same tree as 2 other sightings from this date and location. Fledglings also present.,50,219,,,Progne subis,-13377933.58573319,4100740.6619953075
1839,Purple Martin,Nojoqui Falls County Park,2 Jul 2007,"Compton, D.",Nestling in Nest,sycamore,,"juv in nest, but flying",,15,219,,observer,Progne subis,-13377934.019879203,4100724.4462849824
1840,Purple Martin,Nojoqui Falls County Park,2 Jul 2007,"Compton, D.",Fledgling out of Nest--Brancher,sycamore,,"juv in nest, but flying",,10,219,,observer,Progne subis,-13377934.019879203,4100719.041053401
3147,Purple Martin,Nojoqui Falls County Park,5 Aug 2012,"Holmgren, M.",Feeding Fledgling,,,Watched 2 food deliveries to dep fl,"With O'Loghlen, A.",30,214,,,Progne subis,-13378188.273596175,4100906.874373668
3770,Purple Martin,Nojoqui Falls County Park,23 Jun 2016,"Kincaid, G.",Carrying Fecal Sac,Western Sycamore,5,26 May - observed Female with brood patch (photo),"O'Loghlen, A. present",3,220,https://goo.gl/92hNYK,Observer,Progne subis,-13377937.804741891,4100709.5819043815
3771,Purple Martin,Nojoqui Falls County Park,12 Jul 2016,"O'Loghlen, A.",Nestling in Nest,Western Sycamore,6,2 nestlings at cavity mouth,"Kincaid, G. present",3,220,https://goo.gl/kZyrfT,Observer,Progne subis,-13377928.899182627,4100706.8792918376
3772,Purple Martin,Nojoqui Falls County Park,12 Jul 2016,"O'Loghlen, A.",Carrying Fecal Sac,Western Sycamore,10,,"Kincaid, G. present",3,219,,Observer,Progne subis,-13378031.313114159,4100760.9316660813
3773,Purple Martin,Nojoqui Falls County Park,1 Jul 2016,"O'Loghlen, A.",Nest in Use (clarify),Western Sycamore,15,Observed repeated visits to nest. 8 Jul - 3 fledgings near nest site,"Hackamack, G. present",5,217,,Observer,Progne subis,-13377941.144326618,4100943.3603463694
3774,Purple Martin,"Alisal Rd, Alisal Guest Ranch",8 Jul 2016,"O'Loghlen, A.",Delivering Food to Nest or Cavity,cottonwood,8,"Also observed 2 other Adult using this cavity?
14 Jul observed 1 nestling at cavity mouth","Hackamack, G. present",2,151,,Observer,Progne subis,-13374174.092758171,4103735.5639728857
